method,lobpcg_peak,lobpcg_members,reference_peak_E,tangent_peak,tangent_peak_E,lobpcg_two_area,tangent_two_area,delta_two_area,area_pct_error,abs_area_pct_error
D12 one-node tangent,0.361,1-2,0.3609976417767782,1,0.3552220137586036,0.00020092091503502027,0.00019502353222278102,-5.8973828122392525e-06,-2.9351761668073957,2.9351761668073957
D12 one-node tangent,0.901,6,0.9006729727988744,3,0.9030644152595276,7.731285636348081e-05,2.9664592356048387e-05,-4.764826400743243e-05,-61.63045352175006,61.63045352175006
D12 one-node tangent,1.034,7-8,1.034170521069759,4,1.0081300813008043,0.00021730582042998897,0.00021107786649012103,-6.227953939867941e-06,-2.865985792531704,2.865985792531704
D12 one-node tangent,1.393,"15,19",1.392940224023971,5,1.3608505315822368,7.841230311883863e-05,7.822872658567126e-05,-1.835765331673658e-07,-0.23411700188061604,0.23411700188061604
D12 one-node tangent,1.483,25-26,1.4831717534255278,7,1.4609130706691709,0.0008775633624094288,0.0008305978937480711,-4.696546866135771e-05,-5.351803718469947,5.351803718469947
D12 one-node tangent,2.265,84,2.2647232012718295,8,2.2063789868667922,0.00027780754173878646,0.00026430698450624157,-1.3500557232544886e-05,-4.859679887754461,4.859679887754461
