wavenumber_cm_minus_1,transmittance,absorbance
4.720000000000000000e+02,8.318999999999999728e-01,7.992887570247592111e-02
4.730000000000000000e+02,8.330999999999999517e-01,7.930286553007999395e-02
4.740000000000000000e+02,8.340999999999999526e-01,7.878187880504969320e-02
4.750000000000000000e+02,8.350999999999999535e-01,7.826151631540131937e-02
4.760000000000000000e+02,8.360999999999999543e-01,7.774177656703339101e-02
4.770000000000000000e+02,8.370999999999999552e-01,7.722265807120215486e-02
4.780000000000000000e+02,8.380999999999999561e-01,7.670415934449607842e-02
4.790000000000000000e+02,8.388999999999999790e-01,7.628980560343721906e-02
4.800000000000000000e+02,8.391999999999999460e-01,7.613452481449858866e-02
4.810000000000000000e+02,8.395000000000000240e-01,7.597929952593240888e-02
4.820000000000000000e+02,8.398999999999999799e-01,7.577241873988228849e-02
4.830000000000000000e+02,8.401999999999999469e-01,7.561732279802685364e-02
4.840000000000000000e+02,8.405000000000000249e-01,7.546228222451019374e-02
4.850000000000000000e+02,8.407999999999999918e-01,7.530729697981419779e-02
4.860000000000000000e+02,8.410999999999999588e-01,7.515236702446287387e-02
4.870000000000000000e+02,8.414000000000000368e-01,7.499749231902243241e-02
4.880000000000000000e+02,8.417000000000000037e-01,7.484267282410148048e-02
4.890000000000000000e+02,8.418999999999999817e-01,7.473949048056474642e-02
4.900000000000000000e+02,8.416000000000000147e-01,7.489427319033614694e-02
4.910000000000000000e+02,8.414000000000000368e-01,7.499749231902243241e-02
4.920000000000000000e+02,8.410999999999999588e-01,7.515236702446287387e-02
4.930000000000000000e+02,8.408999999999999808e-01,7.525564752005145519e-02
4.940000000000000000e+02,8.407000000000000028e-01,7.535895258283711873e-02
4.950000000000000000e+02,8.404000000000000359e-01,7.551395626608500833e-02
4.960000000000000000e+02,8.401999999999999469e-01,7.561732279802685364e-02
4.970000000000000000e+02,8.398999999999999799e-01,7.577241873988228849e-02
4.980000000000000000e+02,8.397000000000000020e-01,7.587584681417518240e-02
4.990000000000000000e+02,8.394000000000000350e-01,7.603103512452871748e-02
