method,lobpcg_peak,lobpcg_members,reference_peak_E,tangent_peak,tangent_peak_E,lobpcg_two_area,tangent_two_area,delta_two_area,area_pct_error,abs_area_pct_error
D20 one-node tangent,0.361,1-2,0.3609976417767782,1,0.365244866713347,0.00020092091503502027,0.00020063151910277007,-2.893959322501985e-07,-0.14403474730331442,0.14403474730331442
D20 one-node tangent,0.901,6,0.9006729727988744,2,0.897679285091229,7.731285636348081e-05,7.468896302588278e-05,-2.6238933375980335e-06,-3.393864178632837,3.393864178632837
D20 one-node tangent,1.034,7-8,1.034170521069759,3,1.0365752203202359,0.00021730582042998897,0.00022208815037204357,4.7823299420546035e-06,2.2007371604643065,2.2007371604643065
D20 one-node tangent,1.393,"15,19",1.392940224023971,4,1.401820087033574,7.841230311883863e-05,8.008186198997406e-05,1.6695588711354326e-06,2.129205245514998,2.129205245514998
D20 one-node tangent,1.483,25-26,1.4831717534255278,5,1.4995616710836313,0.0008775633624094288,0.0008756686073077193,-1.8947551017094643e-06,-0.21591091684904035,0.21591091684904035
D20 one-node tangent,2.265,84,2.2647232012718295,6,2.2686336087405756,0.00027780754173878646,0.0002738192607785215,-3.988280960264944e-06,-1.435627317855538,1.435627317855538
