method,lobpcg_peak,lobpcg_members,reference_peak_E,cheb_peak,cheb_peak_E,lobpcg_A_IR_km_mol,cheb_A_IR_km_mol,delta_A_IR_km_mol,ir_pct_error
cheb_ttns_CBC,0.361,1-2,0.3609976417767782,1,0.3652282676672981,1.1745890209406933,1.1945706223130093,0.01998160137231597,1.701156831545497
cheb_ttns_CBC,0.901,6,0.9006729727988744,2,0.9030644152595347,1.1276524670900152,1.1410184031912591,0.013365936101243925,1.185288596559864
cheb_ttns_CBC,1.034,7-8,1.034170521069759,3,1.040650406504062,3.6393174330168376,3.7021651180146504,0.06284768499781279,1.7269085798243975
cheb_ttns_CBC,1.393,"15,19",1.392940224023971,4,1.3983739837398295,1.7687771317934453,1.78166991297967,0.012892781186224722,0.7289093099678495
cheb_ttns_CBC,1.483,25-26,1.4831717534255278,5,1.483427141963731,21.077852168812434,21.00083705024132,-0.07701511857111498,-0.36538409110331166
cheb_ttns_CBC,2.265,84,2.2647232012718295,7,2.2589118198874223,10.188625180265332,9.941041995786037,-0.24758318447929462,-2.4299960014119106
