method,lobpcg_peak,lobpcg_members,reference_peak_E,cheb_peak,cheb_peak_E,lobpcg_two_area,cheb_two_area,delta_two_area,area_pct_error
cheb_ttns_CBC,0.361,1-2,0.3609976417767782,1,0.3652282676672981,0.00020092091503502027,0.00020197193293906732,1.051017904047047e-06,0.5231002973801189
cheb_ttns_CBC,0.901,6,0.9006729727988744,2,0.9030644152595347,7.731285636348081e-05,7.802207473592565e-05,7.092183724448381e-07,0.9173356228238406
cheb_ttns_CBC,1.034,7-8,1.034170521069759,3,1.040650406504062,0.00021730582042998897,0.00021968201401849737,2.376193588508402e-06,1.0934790351250432
cheb_ttns_CBC,1.393,"15,19",1.392940224023971,4,1.3983739837398295,7.841230311883863e-05,7.86769445893917e-05,2.6464147055306323e-07,0.3374999330806327
cheb_ttns_CBC,1.483,25-26,1.4831717534255278,5,1.483427141963731,0.0008775633624094288,0.0008742063551977795,-3.3570072116493026e-06,-0.38253730219916415
cheb_ttns_CBC,2.265,84,2.2647232012718295,7,2.2589118198874223,0.00027780754173878646,0.00027175416296250176,-6.053378776284702e-06,-2.1789828808810743
