method,reference,match,ref_peak,peak,ref_peak_E,peak_E,delta_peak_E,ref_two_area,two_area,delta_two_area,ratio_area
cheb_ttns_CBC,cheb_ttns_CBC,1,1,1,0.3652282676672981,0.3652282676672981,0.0,0.00020197193293906732,0.00020197193293906732,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,2,2,2,0.9030644152595347,0.9030644152595347,0.0,7.802207473592565e-05,7.802207473592565e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,3,3,3,1.040650406504062,1.040650406504062,0.0,0.00021968201401849737,0.00021968201401849737,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,4,4,4,1.3983739837398295,1.3983739837398295,0.0,7.86769445893917e-05,7.86769445893917e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,5,5,5,1.483427141963731,1.483427141963731,0.0,0.0008742063551977795,0.0008742063551977795,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,6,6,6,2.126328955597237,2.126328955597237,0.0,7.011272090948826e-06,7.011272090948826e-06,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,7,7,7,2.2589118198874223,2.2589118198874223,0.0,0.00027175416296250176,0.00027175416296250176,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,8,8,8,2.979362101313317,2.979362101313317,0.0,6.389162235359256e-05,6.389162235359256e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,9,9,9,3.0368980612883023,3.0368980612883023,0.0,1.2956594267020398e-05,1.2956594267020398e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,10,10,10,3.0644152595372005,3.0644152595372005,0.0,2.0983560906985716e-05,2.0983560906985716e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,1,1,1,0.3652282676672981,0.3652282676672981,0.0,0.00020197193293906732,0.00020197193293906732,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,2,2,2,0.9030644152595347,0.9030644152595347,0.0,7.802207473592565e-05,7.802207473592565e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,3,3,3,1.040650406504062,1.040650406504062,0.0,0.00021968201401849737,0.00021968201401849737,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,4,4,4,1.3983739837398295,1.3983739837398295,0.0,7.86769445893917e-05,7.86769445893917e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,5,5,5,1.483427141963731,1.483427141963731,0.0,0.0008742063551977795,0.0008742063551977795,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,6,6,6,2.126328955597237,2.126328955597237,0.0,7.011272090948826e-06,7.011272090948826e-06,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,7,7,7,2.2589118198874223,2.2589118198874223,0.0,0.00027175416296250176,0.00027175416296250176,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,8,8,8,2.979362101313317,2.979362101313317,0.0,6.389162235359256e-05,6.389162235359256e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,9,9,9,3.0368980612883023,3.0368980612883023,0.0,1.2956594267020398e-05,1.2956594267020398e-05,0.0,1.0
cheb_ttns_CBC,cheb_ttns_CBC,10,10,10,3.0644152595372005,3.0644152595372005,0.0,2.0983560906985716e-05,2.0983560906985716e-05,0.0,1.0
